timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626167802156,1725,登录,200,,线程组 1-41,text,false,"操作持续太长时间：他花费了1,725毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1725,0,0
1626167802157,1724,登录,200,,线程组 1-89,text,false,"操作持续太长时间：他花费了1,724毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1724,0,0
1626167802156,1725,登录,200,,线程组 1-17,text,false,"操作持续太长时间：他花费了1,725毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1725,0,0
1626167802590,1291,登录,200,,线程组 1-37,text,false,"操作持续太长时间：他花费了1,291毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1291,0,0
1626167802593,1289,登录,200,,线程组 1-38,text,false,"操作持续太长时间：他花费了1,289毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1289,0,0
1626167802591,1292,登录,200,,线程组 1-93,text,false,"操作持续太长时间：他花费了1,292毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1292,0,0
1626167802593,1491,登录,200,,线程组 1-68,text,false,"操作持续太长时间：他花费了1,491毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1491,0,0
1626167802591,1493,登录,200,,线程组 1-95,text,false,"操作持续太长时间：他花费了1,493毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1493,0,0
1626167802591,1493,登录,200,,线程组 1-80,text,false,"操作持续太长时间：他花费了1,493毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1493,0,0
1626167802590,1494,登录,200,,线程组 1-50,text,false,"操作持续太长时间：他花费了1,494毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1494,0,0
1626167802594,1494,登录,200,,线程组 1-6,text,false,"操作持续太长时间：他花费了1,494毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1494,0,0
1626167802598,1490,登录,200,,线程组 1-24,text,false,"操作持续太长时间：他花费了1,490毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1490,0,0
1626167802594,1494,登录,200,,线程组 1-46,text,false,"操作持续太长时间：他花费了1,494毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1494,0,0
1626167802601,1487,登录,200,,线程组 1-69,text,false,"操作持续太长时间：他花费了1,487毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1487,0,0
1626167802601,1487,登录,200,,线程组 1-82,text,false,"操作持续太长时间：他花费了1,487毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1487,0,0
1626167802601,1487,登录,200,,线程组 1-48,text,false,"操作持续太长时间：他花费了1,487毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1487,0,0
1626167802601,1488,登录,200,,线程组 1-79,text,false,"操作持续太长时间：他花费了1,488毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1488,0,0
1626167802607,1482,登录,200,,线程组 1-30,text,false,"操作持续太长时间：他花费了1,482毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1482,0,0
1626167802604,1485,登录,200,,线程组 1-7,text,false,"操作持续太长时间：他花费了1,485毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1485,0,0
1626167802608,1690,登录,200,,线程组 1-31,text,false,"操作持续太长时间：他花费了1,690毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1690,0,0
1626167802607,1694,登录,200,,线程组 1-45,text,false,"操作持续太长时间：他花费了1,694毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1694,0,0
1626167802604,1700,登录,200,,线程组 1-40,text,false,"操作持续太长时间：他花费了1,700毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1700,0,0
1626167803455,851,登录,200,,线程组 1-84,text,false,操作持续太长时间：他花费了851毫秒，但不应该超过500毫秒。,230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,851,0,0
1626167802806,1689,登录,200,,线程组 1-19,text,false,"操作持续太长时间：他花费了1,689毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1689,0,0
1626167802806,1689,登录,200,,线程组 1-77,text,false,"操作持续太长时间：他花费了1,689毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1689,0,0
1626167802806,1689,登录,200,,线程组 1-94,text,false,"操作持续太长时间：他花费了1,689毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1689,0,0
1626167802607,1890,登录,200,,线程组 1-81,text,false,"操作持续太长时间：他花费了1,890毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1890,0,0
1626167802821,1676,登录,200,,线程组 1-72,text,false,"操作持续太长时间：他花费了1,676毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1676,0,0
1626167802608,1889,登录,200,,线程组 1-13,text,false,"操作持续太长时间：他花费了1,889毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1889,0,0
1626167802822,1675,登录,200,,线程组 1-23,text,false,"操作持续太长时间：他花费了1,675毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1675,0,0
1626167802806,1692,登录,200,,线程组 1-98,text,false,"操作持续太长时间：他花费了1,692毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1692,0,0
